??/?? (Target),???? (Title),?? (Time),?? (Venue),?????? (Details),???? (Remarks)
?? (HD & DFS),????? (Assembly),09:15 - 09:30,?? (Hall),?????????????????,?????????
?? (HD & DFS),?????? (Departmental Orientation),09:30 - 10:20,?? (Hall),1. ??????????,??????????????
AS110114 (??????????),???? (Programme Orientation),10:30 - 12:30,118B ?,1. ?????,???????????????????
AS114103 (????),???? (Programme Orientation),10:30 - 12:30,Annex Hall,1. ?????,????????
AS114109 (???????),???? (Programme Orientation),10:30 - 12:30,208B ?,1. ?????,???????????
AS114109J (???????-??),???? (Programme Orientation),10:30 - 12:30,207B ?,1. ?????,?????????????????????
AS114205 (????),???? (Programme Orientation),10:30 - 12:30,030 ?,1. ????? (Class tutor briefing),????????
FS113002A (??????),???????? (DFS Orientation P1),10:30 - 11:15,?? (Hall),?????????????????????,???????????
FS113002A (??????),???????? (DFS Orientation P2),11:15 - 12:30,?????,"1A, 1E, 1G ? ?? 118A ?",???????????????
,,,,"1B, 1F ? ?? 104 ?",
,,,,"1C, 1D, 1H ? ?? ?? (Hall)",
